text,distress,framing,tension,is_labelled,household_relevance_score
"Whoo-hoo! Your tax refund of $1,725.67 has arrived.",0,celebratory,0,1,0.6546
Banking Alert: Your spending limit has been reached.,1,urgent,1,1,0.9877
We noticed you shop at Starbucks. Here is a 5% coupon for you.,0,supportive,0,1,0.5097
Your credit card ending in 1804 has been suspended due to missed payments.,1,urgent,1,1,0.8866
"Transaction confirmation: You spent $4,493.34 at Whole Foods.",0,direct,0,1,0.4456
Important: Your promotional APR is expiring. Balances will now accrue interest.,1,urgent,1,1,0.9605
"Wire transfer of $1,418.65 could not be completed.",1,direct,1,1,0.8645
Your monthly statement for October is available.,0,direct,0,1,0.4177
Check #1766 has cleared.,0,direct,0,1,0.4393
Great start! Here is a tip to grow your savings even faster.,0,supportive,0,1,0.6683
We noticed the late fee on your account. Let's see if we can waive it.,1,supportive,0,1,0.8197
"Based on your spending, you could save $4,116.29 by switching plans.",0,supportive,0,1,0.7391
You are eligible for a lower interest rate. Tap to apply.,0,supportive,0,1,0.563
"Reminder: You have $2,641.94 in unused rewards points.",0,gentle,0,1,0.5748
"Don't forget, your card expires next month.",0,gentle,0,1,0.5719
Your minimum payment was not received. Late fees have been applied.,1,urgent,1,1,0.8647
Subscription renewal failed for Apple.,1,direct,1,1,0.7078
Profile update: Email address changed.,0,direct,0,1,0.4576
Save time by setting up automatic transfers.,0,supportive,0,1,0.5246
International transaction fee of $39.00 charged.,1,direct,1,1,0.7767
Take control of your finances with our new budgeting widget.,0,supportive,0,1,0.6461
"Urgent: Your account is overdrawn by $2,178.13. Immediate deposit required.",1,urgent,1,1,0.9699
Save time by setting up automatic transfers.,0,supportive,0,1,0.6061
Unexpected expenses happen. We can defer your payment for 30 days.,1,supportive,0,1,0.838
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.5614
Urgent: Update your payment method to avoid service interruption.,1,urgent,1,1,0.8912
You have exceeded your monthly transfer limit.,1,direct,1,1,0.8844
Protect your family's future with these life insurance options.,0,supportive,0,1,0.5481
Immediate Attention: Tax document 1099-INT returned as undeliverable.,1,urgent,1,1,0.9666
You are on the right track! Check out your weekly spending insight.,0,supportive,0,1,0.601
We are here to help. Click here to review hardship options.,1,supportive,0,1,0.8395
"ATM withdrawal of $1,385.55 was successful.",0,direct,0,1,0.5932
"Big win: Your investment portfolio is up by $2,895.26.",0,celebratory,0,1,0.6112
Happy Anniversary! Thanks for being with us for another year.,0,celebratory,0,1,0.6629
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.6703
Your weekly summary is ready for review.,0,gentle,0,1,0.5972
High Five! You paid off your credit card balance in full.,0,celebratory,0,1,0.7962
Paper statement fee of $2.50 applied.,1,direct,1,1,0.7874
Unexpected expenses happen. We can defer your payment for 30 days.,1,supportive,0,1,0.8134
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.5898
"Alert: A charge of $3,011.65 at Uber was declined.",1,urgent,1,1,0.9778
WARNING: Your balance is critically low ($12.40). unexpected fees may occur.,1,urgent,1,1,0.9802
We blocked a suspicious charge to keep you safe. Please review it.,1,supportive,0,1,0.9413
Your request for a credit limit increase was denied.,1,direct,1,1,0.8361
Did you know you can categorize your expenses? Let us show you how.,0,supportive,0,1,0.6054
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.6625
"Don't forget, your card expires next month.",0,gentle,0,1,0.4362
Friendly tip: Enable push notifications to stay updated.,0,gentle,0,1,0.5276
"Reward Unlocked: You earned $2,045.50 in cash back this month.",0,celebratory,0,1,0.6657
"When you have a moment, please review your beneficiary info.",0,gentle,0,1,0.6
Your new debit card has been shipped.,0,direct,0,1,0.5946
"Just a heads up, bank holidays may affect processing times.",0,gentle,0,1,0.6781
Your safety is our priority. Confirm this charge to unlock your card.,1,supportive,0,1,0.8791
Your access to online banking has been temporarily restricted.,1,urgent,1,1,0.9584
It looks like spending is higher than usual. Here are some tips to manage it.,1,supportive,0,1,0.854
Transaction confirmation: You spent $52.94 at Starbucks.,0,direct,0,1,0.6515
We see you're close to your limit. Here is a guide to credit utilization.,1,supportive,0,1,0.8341
Your recurring payment to Amazon is coming up soon.,0,gentle,0,1,0.5276
Debit card 7481 was declined at Spotify.,1,direct,1,1,0.8486
"Action Required: We could not process your auto-pay of $3,519.28.",1,urgent,1,1,0.9983
We are here to help. Click here to review hardship options.,1,supportive,0,1,0.8663
You've earned a fee waiver for being a loyal customer.,0,celebratory,0,1,0.768
"Payment of $2,138.96 received on Mar 16.",0,direct,0,1,0.4069
Just a friendly reminder: Your statement is ready.,0,gentle,0,1,0.6725
Missed a payment? It happens. Let's get you back on track.,1,supportive,0,1,0.9187
Your contact information has been successfully updated.,0,direct,0,1,0.462
"Just a heads up, bank holidays may affect processing times.",0,gentle,0,1,0.6371
You have 3 days left in your billing cycle.,0,direct,0,1,0.6246
Did you know you can categorize your expenses? Let us show you how.,0,supportive,0,1,0.5613
We noticed the late fee on your account. Let's see if we can waive it.,1,supportive,0,1,0.7104
"Big win: Your investment portfolio is up by $1,158.39.",0,celebratory,0,1,0.6503
Did you know you can categorize your expenses? Let us show you how.,0,supportive,0,1,0.7431
Feeling overwhelmed by debt? Our financial advisors are free to chat.,1,supportive,0,1,0.9077
Victory! You stuck to your budget for 3 months straight.,0,celebratory,0,1,0.6411
A quick note: We have updated our branch hours.,0,gentle,0,1,0.5438
Good news! You have pre-qualified for a rewards upgrade.,0,supportive,0,1,0.7754
Your credit score has been updated.,0,direct,0,1,0.6463
Your monthly statement for October is available.,0,direct,0,1,0.4704
Need more time? You can skip this month's payment.,1,supportive,0,1,0.7519
Important: Your promotional APR is expiring. Balances will now accrue interest.,1,urgent,1,1,0.8595
ATM withdrawal limit reached. Transaction cancelled.,1,direct,1,1,0.8309
A little reminder to check your monthly budget.,0,gentle,0,1,0.6399
Unexpected expenses happen. We can defer your payment for 30 days.,1,supportive,0,1,0.8826
"Second Notice: Past due amount of $3,406.35 must be paid by Mar 12.",1,urgent,1,1,0.9149
"Please contact us immediately regarding your outstanding debt of $1,301.79.",1,urgent,1,1,0.883
Fantastic! You have fully funded your emergency account.,0,celebratory,0,1,0.6417
Let's work together to get your account back in good standing.,1,supportive,0,1,0.8009
Save time by setting up automatic transfers.,0,supportive,0,1,0.5771
Want to save for a vacation? Let's set up a new Goal bucket.,0,supportive,0,1,0.7973
You are eligible for a lower interest rate. Tap to apply.,0,supportive,0,1,0.5035
"For your convenience, we have added a new ATM near you.",0,gentle,0,1,0.548
Take control of your finances with our new budgeting widget.,0,supportive,0,1,0.5588
Unexpected expenses happen. We can defer your payment for 30 days.,1,supportive,0,1,0.8864
"Great job! You spent $1,351.93 less on dining out this week.",0,celebratory,0,1,0.7516
Want to save for a vacation? Let's set up a new Goal bucket.,0,supportive,0,1,0.569
A late fee of $12.00 has been charged to your account.,1,direct,1,1,0.8616
Save time by setting up automatic transfers.,0,supportive,0,1,0.6874
Just a friendly reminder: Your statement is ready.,0,gentle,0,1,0.6534
International transaction fee of $2.50 charged.,1,direct,1,1,0.7923
Friendly tip: Enable push notifications to stay updated.,0,gentle,0,1,0.4353
Card 1308 activated successfully.,0,direct,0,1,0.5362
A little reminder to check your monthly budget.,0,gentle,0,1,0.5929
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.6741
We analyzed your subscriptions. You might want to review this $12.99 charge.,0,supportive,0,1,0.5351
"New device detected: iPhone 14 logged in from Seattle, WA.",0,direct,0,1,0.5657
"When you have a moment, please review your beneficiary info.",0,gentle,0,1,0.5389
Your weekly summary is ready for review.,0,gentle,0,1,0.5899
Planning for retirement? Try our new calculator tool.,0,supportive,0,1,0.6556
Did you know? You can now lock your card from the app.,0,gentle,0,1,0.538
We noticed the late fee on your account. Let's see if we can waive it.,1,supportive,0,1,0.7191
Great start! Here is a tip to grow your savings even faster.,0,supportive,0,1,0.7968
Check #3330 has cleared.,0,direct,0,1,0.4519
We have refreshed the look of your dashboard.,0,gentle,0,1,0.5912
Your new debit card has been shipped.,0,direct,0,1,0.51
Login failed: Too many attempts.,1,direct,1,1,0.8855
Happy Anniversary! Thanks for being with us for another year.,0,celebratory,0,1,0.8273
You are eligible for a lower interest rate. Tap to apply.,0,supportive,0,1,0.6936
"Direct Deposit of $3,775.78 received.",0,direct,0,1,0.4908
We were unable to verify your identity. Transaction cancelled.,1,direct,1,1,0.7125
"Don't forget, your card expires next month.",0,gentle,0,1,0.6434
Reminder: You have $274.08 in unused rewards points.,0,gentle,0,1,0.4476
Happy Anniversary! Thanks for being with us for another year.,0,celebratory,0,1,0.6669
"New device detected: iPhone 14 logged in from Seattle, WA.",0,direct,0,1,0.4723
Protect your family's future with these life insurance options.,0,supportive,0,1,0.6388
Planning for retirement? Try our new calculator tool.,0,supportive,0,1,0.6813
We have refreshed the look of your dashboard.,0,gentle,0,1,0.5663
Your financial wellness score is looking good. Here is how to maintain it.,0,supportive,0,1,0.5991
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.4253
"Bonus alert: You received a $1,992.14 referral bonus.",0,celebratory,0,1,0.8207
Support tip: Using ATMs in our network saves you fees.,0,supportive,0,1,0.6642
"Great job! You spent $3,551.82 less on dining out this week.",0,celebratory,0,1,0.7107
Fantastic! You have fully funded your emergency account.,0,celebratory,0,1,0.6864
High utility bills this month? Compare rates in your area.,1,supportive,0,1,0.9297
Your credit score has been updated.,0,direct,0,1,0.5927
Did you know? You can now lock your card from the app.,0,gentle,0,1,0.5934
You've earned a fee waiver for being a loyal customer.,0,celebratory,0,1,0.7282
"Just a heads up, bank holidays may affect processing times.",0,gentle,0,1,0.469
Your credit score went up! Keep up the fantastic work.,0,celebratory,0,1,0.6437
Your 1099-INT tax form is ready for download.,0,direct,0,1,0.5769
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.5948
Good news! You have pre-qualified for a rewards upgrade.,0,supportive,0,1,0.5629
Did you know? You can now lock your card from the app.,0,gentle,0,1,0.5621
Just a friendly reminder: Your statement is ready.,0,gentle,0,1,0.6795
You have exceeded your monthly transfer limit.,1,direct,1,1,0.8487
Take control of your finances with our new budgeting widget.,0,supportive,0,1,0.5562
Protect your family's future with these life insurance options.,0,supportive,0,1,0.5694
You have 3 days left in your billing cycle.,0,direct,0,1,0.5714
"Your recurring transfer of $1,327.72 is scheduled for tomorrow.",0,direct,0,1,0.4167
We thought you'd like to know about our new mobile features.,0,gentle,0,1,0.5116
A quick note: We have updated our branch hours.,0,gentle,0,1,0.4693
Great start! Here is a tip to grow your savings even faster.,0,supportive,0,1,0.6651
"Transaction confirmation: You spent $4,212.26 at Walmart.",0,direct,0,1,0.6009
Did you know? You can now lock your card from the app.,0,gentle,0,1,0.5535
Notice of adverse action regarding your application.,1,direct,1,1,0.8966
Urgent: Update your payment method to avoid service interruption.,1,urgent,1,1,0.9925
Wire transfer of $483.95 could not be completed.,1,direct,1,1,0.7347
Final Reminder: Renew your subscription or lose access today.,1,urgent,1,1,0.9637
Missed a payment? It happens. Let's get you back on track.,1,supportive,0,1,0.8792
Amazing! Your net worth increased by 5% this quarter.,0,celebratory,0,1,0.7
You've earned a fee waiver for being a loyal customer.,0,celebratory,0,1,0.6452
We noticed your credit score dropped. Here is a personalized plan to improve it.,1,supportive,0,1,0.7413
Success! Your mortgage application has been approved.,0,celebratory,0,1,0.6688
"Merchant refund of $4,320.76 processed.",0,direct,0,1,0.4941
"Based on your spending, you could save $1,714.15 by switching plans.",0,supportive,0,1,0.5735
Planning for retirement? Try our new calculator tool.,0,supportive,0,1,0.5971
Did you know you can categorize your expenses? Let us show you how.,0,supportive,0,1,0.6927
"Let's set up a budget to handle that upcoming $3,586.80 expense.",1,supportive,0,1,0.9486
"Alert: A charge of $1,710.17 at Whole Foods was declined.",1,urgent,1,1,0.9344
Your monthly statement for October is available.,0,direct,0,1,0.4041
Please check your inbox for a message about your account.,0,gentle,0,1,0.5209
It looks like spending is higher than usual. Here are some tips to manage it.,1,supportive,0,1,0.8
"Just a heads up, bank holidays may affect processing times.",0,gentle,0,1,0.5661
Check #1389 has cleared.,0,direct,0,1,0.4913
"Don't forget, your card expires next month.",0,gentle,0,1,0.5123
We thought you'd like to know about our new mobile features.,0,gentle,0,1,0.6254
Your credit score has been updated.,0,direct,0,1,0.5312
Your 1099-INT tax form is ready for download.,0,direct,0,1,0.5554
Planning for retirement? Try our new calculator tool.,0,supportive,0,1,0.5543
Friendly tip: Enable push notifications to stay updated.,0,gentle,0,1,0.5513
You have achieved 'Gold Status' in our loyalty program.,0,celebratory,0,1,0.7674
Profile update: Email address changed.,0,direct,0,1,0.5564
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.5599
"Final Notice: Payment of $3,229.41 is 60 days overdue.",1,urgent,1,1,0.9799
We noticed a declined transaction. Let's get your account sorted out.,1,supportive,0,1,0.8854
"Great job! You spent $2,936.28 less on dining out this week.",0,celebratory,0,1,0.7972
Your credit score has been updated.,0,direct,0,1,0.6722
Final Reminder: Renew your subscription or lose access today.,1,urgent,1,1,0.9584
Your recurring payment to Walmart is coming up soon.,0,gentle,0,1,0.4657
We noticed your credit score dropped. Here is a personalized plan to improve it.,1,supportive,0,1,0.7612
Soft nudge: You have a document waiting to be signed.,0,gentle,0,1,0.4565
"Merchant refund of $2,658.41 processed.",0,direct,0,1,0.456
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.5603
A quick note: We have updated our branch hours.,0,gentle,0,1,0.5778
"Hi there, your e-statement is now available.",0,gentle,0,1,0.6523
"When you have a moment, please review your beneficiary info.",0,gentle,0,1,0.5905
Unexpected expenses happen. We can defer your payment for 30 days.,1,supportive,0,1,0.9162
"Whoo-hoo! Your tax refund of $3,682.25 has arrived.",0,celebratory,0,1,0.6059
Take control of your finances with our new budgeting widget.,0,supportive,0,1,0.7053
We are here to help. Click here to review hardship options.,1,supportive,0,1,0.824
Fantastic! You have fully funded your emergency account.,0,celebratory,0,1,0.7272
Goal completed: 'New Car Fund'. Time to celebrate!,0,celebratory,0,1,0.6125
Account 5287 has been closed due to inactivity.,1,direct,1,1,0.786
Your dispute regarding the $115.18 charge was resolved in favor of the merchant.,1,direct,1,1,0.9097
Urgent: Update your payment method to avoid service interruption.,1,urgent,1,1,0.944
Just a friendly reminder: Your statement is ready.,0,gentle,0,1,0.6808
Way to go! You set up your first automatic deposit.,0,celebratory,0,1,0.7437
Way to go! You set up your first automatic deposit.,0,celebratory,0,1,0.8846
"Your recurring transfer of $2,463.74 is scheduled for tomorrow.",0,direct,0,1,0.4887
"Urgent: Verify this transaction of $1,239.77 to prevent account lockout.",1,urgent,1,1,0.9031
Did you know you can categorize your expenses? Let us show you how.,0,supportive,0,1,0.7259
Just a friendly reminder: Your statement is ready.,0,gentle,0,1,0.5918
Your credit score went up! Keep up the fantastic work.,0,celebratory,0,1,0.7329
We thought you'd like to know about our new mobile features.,0,gentle,0,1,0.5462
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.5183
